Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,24577973,193937082,7.8,8.0,7.73,8.0,-0.25,6542,0.8849319166028308,6.9025,7.0795,6.8405,7.0795
2020-05-05,13393701,106033118,8.0,8.0,7.88,7.91,-0.09,3502,0.8849319166028308,7.0795,6.9998,6.9733,7.0795
2020-05-06,21202426,164605946,7.91,7.92,7.7,7.7,-0.21,6084,0.8849319166028308,6.9998,6.814,6.814,7.0087
2020-05-07,11947112,93132792,7.65,7.9,7.61,7.79,0.09,4132,0.8849319166028308,6.7697,6.8936,6.7343,6.991
2020-05-08,14084366,110407108,7.9,7.9,7.8,7.81,0.02,4561,0.8849319166028308,6.991,6.9113,6.9025,6.991
2020-05-11,22631759,183147724,7.99,8.24,7.98,8.06,0.25,5467,0.8849319166028308,7.0706,7.1326,7.0618,7.2918
2020-05-12,22595721,181301233,8.03,8.18,7.95,8.13,0.07,5408,0.8849319166028308,7.106,7.1945,7.0352,7.2387
2020-05-13,14473576,116968117,8.04,8.12,8.01,8.07,-0.06,4999,0.8849319166028308,7.1149,7.1414,7.0883,7.1856
2020-05-14,12595513,101677061,8.03,8.15,8.01,8.04,-0.03,3136,0.8849319166028308,7.106,7.1149,7.0883,7.2122
2020-05-15,10859161,87041548,8.11,8.12,7.94,8.03,-0.01,2767,0.8849319166028308,7.1768,7.106,7.0264,7.1856
2020-05-18,7615918,61042324,8.0,8.07,7.99,8.0,-0.03,2032,0.8849319166028308,7.0795,7.0795,7.0706,7.1414
2020-05-19,51509346,425416385,8.2,8.35,8.12,8.34,0.34,15305,0.8849319166028308,7.2564,7.3803,7.1856,7.3892
2020-05-20,37512475,318335773,8.6,8.65,8.33,8.33,-0.01,9733,0.8849319166028308,7.6104,7.3715,7.3715,7.6547
2020-05-21,19259660,163175573,8.4,8.55,8.4,8.45,0.12,4517,0.8849319166028308,7.4334,7.4777,7.4334,7.5662
2020-05-22,13616094,112978294,8.44,8.44,8.2,8.24,-0.21,3907,0.8849319166028308,7.4688,7.2918,7.2564,7.4688
2020-05-25,13313297,109799941,8.24,8.35,8.18,8.26,0.02,2764,0.8849319166028308,7.2918,7.3095,7.2387,7.3892
2020-05-26,12948296,107551600,8.3,8.37,8.26,8.26,0.0,3385,0.8849319166028308,7.3449,7.3095,7.3095,7.4069
2020-05-27,12520034,104713419,8.31,8.41,8.3,8.4,0.14,3196,0.8849319166028308,7.3538,7.4334,7.3449,7.4423
2020-05-28,13045150,109021921,8.46,8.47,8.26,8.34,-0.06,3518,0.8849319166028308,7.4865,7.3803,7.3095,7.4954
2020-05-29,23405764,191783217,8.3,8.3,8.15,8.2,-0.14,5026,0.8849319166028308,7.3449,7.2564,7.2122,7.3449
2020-06-01,10592705,87915277,8.24,8.33,8.24,8.33,0.13,2807,0.8849319166028308,7.2918,7.3715,7.2918,7.3715
2020-06-02,5112457,42442711,8.35,8.35,8.26,8.31,-0.02,1640,0.8849319166028308,7.3892,7.3538,7.3095,7.3892
2020-06-03,12992259,108532016,8.36,8.4,8.31,8.36,0.05,2732,0.8849319166028308,7.398,7.398,7.3538,7.4334
2020-06-04,25529549,214928827,8.44,8.55,8.36,8.42,0.06,7483,0.8849319166028308,7.4688,7.4511,7.398,7.5662
2020-06-05,76041073,665053182,8.5,9.0,8.5,8.77,0.35,16673,0.8849319166028308,7.5219,7.7609,7.5219,7.9644
2020-06-08,42747185,377839599,8.98,8.99,8.78,8.83,0.06,11539,0.8849319166028308,7.9467,7.8139,7.7697,7.9555
2020-06-09,16330516,144287758,8.94,8.94,8.8,8.83,0.0,5155,0.8849319166028308,7.9113,7.8139,7.7874,7.9113
2020-06-10,15190263,133500234,8.83,8.83,8.77,8.8,-0.03,3887,0.8849319166028308,7.8139,7.7874,7.7609,7.8139
2020-06-11,15958180,138993314,8.8,8.84,8.6,8.63,-0.17,4553,0.8849319166028308,7.7874,7.637,7.6104,7.8228
2020-06-12,16171120,134907425,8.2,8.46,8.12,8.46,-0.17,3902,0.8849319166028308,7.2564,7.4865,7.1856,7.4865
2020-06-15,9763709,81916560,8.5,8.5,8.3,8.46,0.0,2887,0.8849319166028308,7.5219,7.4865,7.3449,7.5219
2020-06-16,15736815,132709329,8.5,8.54,8.4,8.48,0.02,7656,0.8849319166028308,7.5219,7.5042,7.4334,7.5573
2020-06-17,21893545,183144802,8.58,8.58,8.31,8.4,-0.08,7374,0.8849319166028308,7.5927,7.4334,7.3538,7.5927
2020-06-18,15786660,131066373,8.4,8.4,8.28,8.28,-0.12,4158,0.8849319166028308,7.4334,7.3272,7.3272,7.4334
2020-06-19,13348396,110319215,8.28,8.33,8.25,8.25,-0.03,2855,0.8849319166028308,7.3272,7.3007,7.3007,7.3715
2020-06-22,10982288,90028520,8.25,8.25,8.17,8.17,-0.08,3258,0.8849319166028308,7.3007,7.2299,7.2299,7.3007
2020-06-23,7227816,59406372,8.17,8.28,8.17,8.23,0.06,2279,0.8849319166028308,7.2299,7.283,7.2299,7.3272
2020-06-24,14660716,122603265,8.29,8.4,8.28,8.39,0.16,3204,0.8849319166028308,7.3361,7.4246,7.3272,7.4334
2020-06-29,11401261,93716785,8.32,8.32,8.17,8.2,-0.19,3262,0.8849319166028308,7.3626,7.2564,7.2299,7.3626
2020-06-30,6985822,57404656,8.29,8.29,8.2,8.2,0.0,2033,0.8849319166028308,7.3361,7.2564,7.2564,7.3361
2020-07-01,4960542,40724554,8.21,8.25,8.19,8.22,0.02,1747,0.8849319166028308,7.2653,7.2741,7.2476,7.3007
2020-07-02,5465601,44795535,8.23,8.23,8.18,8.19,-0.03,1515,0.8849319166028308,7.283,7.2476,7.2387,7.283
2020-07-03,6082486,50057911,8.2,8.28,8.2,8.22,0.03,1656,0.8849319166028308,7.2564,7.2741,7.2564,7.3272
2020-07-06,9782874,80654839,8.22,8.28,8.22,8.22,0.0,2430,0.8849319166028308,7.2741,7.2741,7.2741,7.3272
2020-07-07,14881498,123403463,8.24,8.39,8.2,8.37,0.15,3808,0.8849319166028308,7.2918,7.4069,7.2564,7.4246
2020-07-08,10800802,90018314,8.38,8.4,8.28,8.28,-0.09,2679,0.8849319166028308,7.4157,7.3272,7.3272,7.4334
2020-07-09,13444987,110760054,8.29,8.33,8.2,8.2,-0.08,3357,0.8849319166028308,7.3361,7.2564,7.2564,7.3715
2020-07-10,12704885,104094785,8.2,8.27,8.15,8.15,-0.05,3521,0.8849319166028308,7.2564,7.2122,7.2122,7.3184
2020-07-13,13821982,112034001,8.15,8.17,8.08,8.1,-0.05,3274,0.8849319166028308,7.2122,7.1679,7.1502,7.2299
2020-07-14,14664521,117603236,8.1,8.1,8.0,8.0,-0.1,3979,0.8849319166028308,7.1679,7.0795,7.0795,7.1679
2020-07-15,8433837,67696528,8.02,8.08,8.0,8.01,0.01,2441,0.8849319166028308,7.0972,7.0883,7.0795,7.1502
2020-07-16,13794370,112191464,8.07,8.18,8.05,8.11,0.1,3332,0.8849319166028308,7.1414,7.1768,7.1237,7.2387
2020-07-17,7626474,61973218,8.2,8.2,8.1,8.12,0.01,1777,0.8849319166028308,7.2564,7.1856,7.1679,7.2564
2020-07-20,3815609,30900828,8.18,8.18,8.06,8.12,0.0,1195,0.8849319166028308,7.2387,7.1856,7.1326,7.2387
2020-07-21,6473571,52403433,8.12,8.13,8.07,8.07,-0.05,2107,0.8849319166028308,7.1856,7.1414,7.1414,7.1945
