Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,318727,10670772,33.4,33.75,33.0,33.6,-0.1,165,0.3796972826059859,12.6819,12.7578,12.53,12.8148
2020-05-05,147636,4946066,33.35,33.65,33.35,33.6,0.0,74,0.3796972826059859,12.6629,12.7578,12.6629,12.7768
2020-05-06,184418,6163704,33.45,33.55,33.35,33.35,-0.25,111,0.3796972826059859,12.7009,12.6629,12.6629,12.7388
2020-05-07,262704,8799886,33.35,33.7,33.3,33.6,0.25,133,0.3796972826059859,12.6629,12.7578,12.6439,12.7958
2020-05-08,313833,10569625,33.5,33.8,33.5,33.55,-0.05,149,0.3796972826059859,12.7199,12.7388,12.7199,12.8338
2020-05-11,372570,12562664,33.5,33.8,33.5,33.8,0.25,131,0.3796972826059859,12.7199,12.8338,12.7199,12.8338
2020-05-12,487244,16411596,33.65,33.8,33.55,33.65,-0.15,160,0.3796972826059859,12.7768,12.7768,12.7388,12.8338
2020-05-13,379290,12777010,33.6,33.75,33.55,33.7,0.05,121,0.3796972826059859,12.7578,12.7958,12.7388,12.8148
2020-05-14,157500,5298498,33.6,33.7,33.55,33.7,0.0,94,0.3796972826059859,12.7578,12.7958,12.7388,12.7958
2020-05-15,187840,6303673,33.65,33.65,33.5,33.6,-0.1,114,0.3796972826059859,12.7768,12.7578,12.7199,12.7768
2020-05-18,406937,13617626,33.4,33.65,33.3,33.6,0.0,235,0.3796972826059859,12.6819,12.7578,12.6439,12.7768
2020-05-19,887286,30281549,33.6,34.75,33.55,34.4,0.8,287,0.3796972826059859,12.7578,13.0616,12.7388,13.1945
2020-05-20,388454,13367069,34.4,34.55,34.1,34.4,0.0,168,0.3796972826059859,13.0616,13.0616,12.9477,13.1185
2020-05-21,336234,11648442,34.4,34.8,34.4,34.75,0.35,136,0.3796972826059859,13.0616,13.1945,13.0616,13.2135
2020-05-22,252381,8688391,34.5,34.7,34.2,34.5,-0.25,151,0.3796972826059859,13.0996,13.0996,12.9856,13.1755
2020-05-25,399436,13798932,34.5,34.9,34.3,34.6,0.1,146,0.3796972826059859,13.0996,13.1375,13.0236,13.2514
2020-05-26,441223,15252592,34.5,34.8,34.3,34.45,-0.15,171,0.3796972826059859,13.0996,13.0806,13.0236,13.2135
2020-05-27,135621,4659067,34.6,34.6,34.25,34.25,-0.2,105,0.3796972826059859,13.1375,13.0046,13.0046,13.1375
2020-05-28,377084,12819822,34.45,34.45,33.65,33.95,-0.3,239,0.3796972826059859,13.0806,12.8907,12.7768,13.0806
2020-05-29,118580,4011462,33.9,34.1,33.6,34.05,0.1,92,0.3796972826059859,12.8717,12.9287,12.7578,12.9477
2020-06-01,338074,11634167,34.0,34.7,33.8,34.45,0.4,152,0.3796972826059859,12.9097,13.0806,12.8338,13.1755
2020-06-02,185548,6385904,34.45,34.5,34.2,34.45,0.0,85,0.3796972826059859,13.0806,13.0806,12.9856,13.0996
2020-06-03,599237,20564661,34.45,34.65,34.1,34.25,-0.2,215,0.3796972826059859,13.0806,13.0046,12.9477,13.1565
2020-06-04,155096,5317492,34.3,34.4,34.15,34.15,-0.1,90,0.3796972826059859,13.0236,12.9667,12.9667,13.0616
2020-06-05,184162,6279414,34.2,34.25,34.0,34.1,-0.05,119,0.3796972826059859,12.9856,12.9477,12.9097,13.0046
2020-06-08,272775,9358102,34.2,34.5,34.1,34.1,0.0,141,0.3796972826059859,12.9856,12.9477,12.9477,13.0996
2020-06-09,131362,4505680,34.15,34.45,34.15,34.35,0.25,94,0.3796972826059859,12.9667,13.0426,12.9667,13.0806
2020-06-10,297110,10250611,34.5,34.55,34.35,34.5,0.15,149,0.3796972826059859,13.0996,13.0996,13.0426,13.1185
2020-06-11,298798,10268351,34.5,34.5,34.2,34.25,-0.25,145,0.3796972826059859,13.0996,13.0046,12.9856,13.0996
2020-06-12,273792,9300901,33.95,34.1,33.8,34.1,-0.15,168,0.3796972826059859,12.8907,12.9477,12.8338,12.9477
2020-06-15,192844,6576671,34.1,34.25,34.0,34.05,-0.05,108,0.3796972826059859,12.9477,12.9287,12.9097,13.0046
2020-06-16,136348,4665652,34.05,34.35,34.05,34.2,0.15,97,0.3796972826059859,12.9287,12.9856,12.9287,13.0426
2020-06-17,134405,4610967,34.15,34.4,34.15,34.35,0.15,77,0.3796972826059859,12.9667,13.0426,12.9667,13.0616
2020-06-18,86575,2967167,34.35,34.35,34.2,34.3,-0.05,61,0.3796972826059859,13.0426,13.0236,12.9856,13.0426
2020-06-19,148027,5088274,34.3,34.5,34.25,34.5,0.2,90,0.3796972826059859,13.0236,13.0996,13.0046,13.0996
2020-06-22,138783,4781672,34.5,34.55,34.4,34.4,-0.1,86,0.3796972826059859,13.0996,13.0616,13.0616,13.1185
2020-06-23,163921,5643330,34.4,34.5,34.4,34.4,0.0,84,0.3796972826059859,13.0616,13.0616,13.0616,13.0996
2020-06-24,170541,5857131,34.45,34.45,34.3,34.3,-0.1,101,0.3796972826059859,13.0806,13.0236,13.0236,13.0806
2020-06-29,257548,8808775,34.3,34.35,34.1,34.15,-0.15,140,0.3796972826059859,13.0236,12.9667,12.9477,13.0426
2020-06-30,72342,2478246,34.1,34.3,34.1,34.25,0.1,56,0.3796972826059859,12.9477,13.0046,12.9477,13.0236
2020-07-01,86502,2964492,34.1,34.35,34.1,34.3,0.05,55,0.3796972826059859,12.9477,13.0236,12.9477,13.0426
2020-07-02,182210,6244144,34.4,34.4,34.2,34.25,-0.05,102,0.3796972826059859,13.0616,13.0046,12.9856,13.0616
2020-07-03,246674,8468903,34.3,34.45,34.25,34.4,0.15,127,0.3796972826059859,13.0236,13.0616,13.0046,13.0806
2020-07-06,586247,20239081,34.4,34.7,34.3,34.45,0.05,259,0.3796972826059859,13.0616,13.0806,13.0236,13.1755
2020-07-07,390940,13478425,34.55,34.6,34.3,34.5,0.05,194,0.3796972826059859,13.1185,13.0996,13.0236,13.1375
2020-07-08,283806,9783812,34.4,34.55,34.4,34.45,-0.05,121,0.3796972826059859,13.0616,13.0806,13.0616,13.1185
2020-07-09,164310,5667891,34.65,34.65,34.4,34.45,0.0,105,0.3796972826059859,13.1565,13.0806,13.0616,13.1565
2020-07-10,164077,5627787,34.4,34.45,34.25,34.3,-0.15,114,0.3796972826059859,13.0616,13.0236,13.0046,13.0806
2020-07-13,114493,3931957,34.3,34.4,34.25,34.4,0.1,77,0.3796972826059859,13.0236,13.0616,13.0046,13.0616
2020-07-14,129325,4433262,34.35,34.4,34.2,34.35,-0.05,68,0.3796972826059859,13.0426,13.0426,12.9856,13.0616
2020-07-15,287548,9899398,34.4,34.6,34.35,34.4,0.05,158,0.3796972826059859,13.0616,13.0616,13.0426,13.1375
