Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,2011,96283,47.9,47.9,47.85,47.85,0.85,4,0.8605454109542635,41.2201,41.1771,41.1771,41.2201
2020-05-05,11010,527520,48.3,48.35,47.5,47.5,-0.35,13,0.8605454109542635,41.5643,40.8759,40.8759,41.6074
2020-05-06,6000,282150,47.05,47.05,47.0,47.0,-0.5,6,0.8605454109542635,40.4887,40.4456,40.4456,40.4887
2020-05-07,6000,284750,47.9,47.9,47.0,47.0,0.0,6,0.8605454109542635,41.2201,40.4456,40.4456,41.2201
2020-05-08,3000,143350,48.3,48.3,47.15,47.15,0.15,3,0.8605454109542635,41.5643,40.5747,40.5747,41.5643
2020-05-11,6000,282400,47.2,47.45,46.75,46.75,-0.4,5,0.8605454109542635,40.6177,40.2305,40.2305,40.8329
2020-05-12,11000,522900,48.3,48.3,47.2,48.0,1.25,10,0.8605454109542635,41.5643,41.3062,40.6177,41.5643
2020-05-13,3000,144400,48.8,48.8,47.6,47.6,-0.4,3,0.8605454109542635,41.9946,40.962,40.962,41.9946
2020-05-14,1000,48250,48.25,48.25,48.25,48.25,0.65,1,0.8605454109542635,41.5213,41.5213,41.5213,41.5213
2020-05-15,12000,575550,48.75,48.75,47.7,47.7,-0.55,11,0.8605454109542635,41.9516,41.048,41.048,41.9516
2020-05-18,5000,243400,48.5,48.9,48.5,48.7,1.0,5,0.8605454109542635,41.7365,41.9086,41.7365,42.0807
2020-05-19,14000,693350,49.45,49.9,49.45,49.9,1.2,13,0.8605454109542635,42.554,42.9412,42.554,42.9412
2020-05-20,92002,4999509,51.4,54.8,51.3,54.8,4.9,66,0.8605454109542635,44.232,47.1579,44.146,47.1579
2020-05-21,151009,8747717,58.9,59.3,56.1,56.6,1.8,139,0.8605454109542635,50.6861,48.7069,48.2766,51.0303
2020-05-22,17000,934400,55.8,56.9,53.8,53.8,-2.8,17,0.8605454109542635,48.0184,46.2973,46.2973,48.965
2020-05-25,30000,1590400,53.8,55.5,52.3,53.0,-0.8,26,0.8605454109542635,46.2973,45.6089,45.0065,47.7603
2020-05-26,15000,805200,53.5,54.5,53.0,53.0,0.0,15,0.8605454109542635,46.0392,45.6089,45.6089,46.8997
2020-05-27,7038,368515,52.8,52.8,51.5,52.8,-0.2,8,0.8605454109542635,45.4368,45.4368,44.3181,45.4368
2020-05-28,0,0,,,,,0.0,0,0.8605454109542635,,,,
2020-05-29,3000,153000,51.0,51.0,51.0,51.0,0.0,3,0.8605454109542635,43.8878,43.8878,43.8878,43.8878
2020-06-01,7015,362172,51.0,52.0,51.0,52.0,1.0,8,0.8605454109542635,43.8878,44.7484,43.8878,44.7484
2020-06-02,10000,504700,50.6,52.5,50.0,51.5,-0.5,10,0.8605454109542635,43.5436,44.3181,43.0273,45.1786
2020-06-03,1000,51500,51.5,51.5,51.5,51.5,0.0,1,0.8605454109542635,44.3181,44.3181,44.3181,44.3181
2020-06-04,1000,51200,51.2,51.2,51.2,51.2,-0.3,1,0.8605454109542635,44.0599,44.0599,44.0599,44.0599
2020-06-05,5000,264800,51.3,54.0,51.3,54.0,2.8,5,0.8605454109542635,44.146,46.4695,44.146,46.4695
2020-06-08,0,0,,,,,0.0,0,0.8605454109542635,,,,
2020-06-09,5015,269405,54.4,54.4,53.2,53.2,0.0,6,0.8605454109542635,46.8137,45.781,45.781,46.8137
2020-06-10,27000,1345250,52.0,52.0,49.0,50.3,-2.9,26,0.8605454109542635,44.7484,43.2854,42.1667,44.7484
2020-06-11,109000,6015600,55.3,55.3,53.2,53.2,2.9,79,0.8605454109542635,47.5882,45.781,45.781,47.5882
2020-06-12,57000,2897300,50.6,51.7,50.0,51.4,-1.8,48,0.8605454109542635,43.5436,44.232,43.0273,44.4902
