Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,2026205,77953518,37.0,38.9,37.0,38.9,3.5,1061,0.7177267821119256,26.5559,27.9196,26.5559,27.9196
2020-05-05,1847559,78983144,42.75,42.75,42.75,42.75,3.85,955,0.7177267821119256,30.6828,30.6828,30.6828,30.6828
2020-05-06,9423984,411640808,44.5,46.25,39.5,39.5,-3.25,6541,0.7177267821119256,31.9388,28.3502,28.3502,33.1949
2020-05-07,2437256,91826607,39.0,39.5,35.6,39.4,-0.1,1502,0.7177267821119256,27.9913,28.2784,25.5511,28.3502
2020-05-08,1452734,53085054,39.4,39.4,35.5,35.5,-3.9,909,0.7177267821119256,28.2784,25.4793,25.4793,28.2784
2020-05-11,1439797,46882887,33.55,33.8,31.95,32.5,-3.0,893,0.7177267821119256,24.0797,23.3261,22.9314,24.2592
2020-05-12,836120,27381369,32.8,33.6,31.5,33.15,0.65,531,0.7177267821119256,23.5414,23.7926,22.6084,24.1156
2020-05-13,723871,24410984,33.15,34.9,32.55,34.4,1.25,449,0.7177267821119256,23.7926,24.6898,23.362,25.0487
2020-05-14,635885,21426890,34.7,34.7,32.95,33.2,-1.2,388,0.7177267821119256,24.9051,23.8285,23.6491,24.9051
2020-05-15,855535,28312729,33.8,33.95,32.55,33.15,-0.05,233,0.7177267821119256,24.2592,23.7926,23.362,24.3668
2020-05-18,1520308,54431521,33.4,36.45,33.4,36.45,3.3,885,0.7177267821119256,23.9721,26.1611,23.9721,26.1611
2020-05-19,1751004,61812402,37.4,37.4,34.45,35.7,-0.75,742,0.7177267821119256,26.843,25.6228,24.7257,26.843
2020-05-20,2870318,110285124,36.4,39.25,36.4,39.25,3.55,1619,0.7177267821119256,26.1253,28.1708,26.1253,28.1708
2020-05-21,6751844,276211976,40.0,42.8,39.55,40.2,0.95,4041,0.7177267821119256,28.7091,28.8526,28.3861,30.7187
2020-05-22,3952036,160304828,40.6,41.7,39.65,39.65,-0.55,2494,0.7177267821119256,29.1397,28.4579,28.4579,29.9292
2020-05-25,1669718,63462552,39.65,40.0,37.0,37.5,-2.15,1214,0.7177267821119256,28.4579,26.9148,26.5559,28.7091
2020-05-26,1272985,47850536,37.65,39.3,36.6,37.45,-0.05,921,0.7177267821119256,27.0224,26.8789,26.2688,28.2067
2020-05-27,851151,31404148,37.6,37.9,36.45,36.7,-0.75,580,0.7177267821119256,26.9865,26.3406,26.1611,27.2018
2020-05-28,5582739,221341160,40.0,40.35,37.9,39.9,3.2,2730,0.7177267821119256,28.7091,28.6373,27.2018,28.9603
2020-05-29,4821105,194187045,40.15,41.4,38.9,38.9,-1.0,2717,0.7177267821119256,28.8167,27.9196,27.9196,29.7139
2020-06-01,1480215,57323883,39.5,39.7,38.2,38.25,-0.65,1027,0.7177267821119256,28.3502,27.453,27.4172,28.4938
2020-06-02,779842,29583010,38.6,38.7,37.6,37.65,-0.6,505,0.7177267821119256,27.7043,27.0224,26.9865,27.776
2020-06-03,1547320,60391430,38.0,39.8,37.8,39.0,1.35,1045,0.7177267821119256,27.2736,27.9913,27.1301,28.5655
2020-06-04,919713,35404814,39.1,39.4,37.85,38.0,-1.0,571,0.7177267821119256,28.0631,27.2736,27.166,28.2784
2020-06-05,770586,29725590,38.0,39.2,37.65,38.8,0.8,557,0.7177267821119256,27.2736,27.8478,27.0224,28.1349
2020-06-08,778300,29443359,39.05,39.05,37.1,37.35,-1.45,540,0.7177267821119256,28.0272,26.8071,26.6277,28.0272
2020-06-09,377000,14140850,37.7,37.8,37.4,37.5,0.15,255,0.7177267821119256,27.0583,26.9148,26.843,27.1301
2020-06-10,439400,16574809,37.95,38.35,37.4,37.4,-0.1,324,0.7177267821119256,27.2377,26.843,26.843,27.5248
2020-06-11,1275344,45767020,37.9,37.9,34.0,34.5,-2.9,914,0.7177267821119256,27.2018,24.7616,24.4027,27.2018
2020-06-12,852106,30253381,33.9,36.75,33.7,36.25,1.75,609,0.7177267821119256,24.3309,26.0176,24.1874,26.3765
2020-06-15,524180,18890797,36.85,36.85,35.7,35.7,-0.55,386,0.7177267821119256,26.4482,25.6228,25.6228,26.4482
2020-06-16,533082,19259070,36.15,37.0,35.5,36.85,1.15,372,0.7177267821119256,25.9458,26.4482,25.4793,26.5559
2020-06-17,970052,36391344,37.1,38.1,36.65,37.5,0.65,646,0.7177267821119256,26.6277,26.9148,26.3047,27.3454
2020-06-18,1974200,76820649,38.7,39.45,38.25,38.7,1.2,1206,0.7177267821119256,27.776,27.776,27.453,28.3143
2020-06-19,1001550,38966188,39.0,39.55,38.3,38.7,0.0,658,0.7177267821119256,27.9913,27.776,27.4889,28.3861
2020-06-22,772229,29939058,39.35,39.35,38.2,38.7,0.0,499,0.7177267821119256,28.2425,27.776,27.4172,28.2425
2020-06-23,1287340,50193073,39.4,39.7,38.55,38.55,-0.15,774,0.7177267821119256,28.2784,27.6684,27.6684,28.4938
2020-06-24,605124,23212428,39.0,39.0,37.95,38.55,0.0,391,0.7177267821119256,27.9913,27.6684,27.2377,27.9913
2020-06-29,995030,38606870,38.1,39.35,38.0,38.75,0.2,597,0.7177267821119256,27.3454,27.8119,27.2736,28.2425
2020-06-30,992839,38462651,38.85,39.1,38.45,38.8,0.05,512,0.7177267821119256,27.8837,27.8478,27.5966,28.0631
2020-07-01,1012820,38346514,37.6,38.3,37.6,37.7,0.0,534,0.7465897894354615,28.0718,28.1464,28.0718,28.5944
2020-07-02,2498836,97928969,38.4,40.5,37.9,39.4,1.7,1506,0.7465897894354615,28.669,29.4156,28.2958,30.2369
2020-07-03,1736699,68657119,40.5,40.6,38.85,39.3,-0.1,1061,0.7465897894354615,30.2369,29.341,29.005,30.3115
2020-07-06,2244463,90022680,40.55,40.75,39.6,39.6,0.3,1280,0.7465897894354615,30.2742,29.565,29.565,30.4235
2020-07-07,794790,31072945,39.95,40.05,38.65,38.7,-0.9,526,0.7465897894354615,29.8263,28.893,28.8557,29.9009
2020-07-08,543126,20957419,38.7,38.9,38.4,38.55,-0.15,337,0.7465897894354615,28.893,28.781,28.669,29.0423
2020-07-09,581361,22332590,38.7,38.85,38.2,38.2,-0.35,385,0.7465897894354615,28.893,28.5197,28.5197,29.005
