Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,3757479,18467813,4.92,4.95,4.88,4.9,-0.14,835,1.0,4.92,4.9,4.88,4.95
2020-05-05,2064264,10138186,4.98,4.98,4.88,4.91,0.01,592,1.0,4.98,4.91,4.88,4.98
2020-05-06,2605098,12676586,4.91,4.92,4.82,4.84,-0.07,758,1.0,4.91,4.84,4.82,4.92
2020-05-07,5283472,25439006,4.79,4.88,4.75,4.84,0.0,1215,1.0,4.79,4.84,4.75,4.88
2020-05-08,25155002,111975428,4.77,4.77,4.37,4.43,-0.41,5302,1.0,4.77,4.43,4.37,4.77
2020-05-11,16433150,79051281,4.55,4.87,4.55,4.87,0.44,2469,1.0,4.55,4.87,4.55,4.87
2020-05-12,30147893,157841060,4.9,5.35,4.88,5.35,0.48,4886,1.0,4.9,5.35,4.88,5.35
2020-05-13,26273249,154226982,5.88,5.88,5.68,5.88,0.53,4532,1.0,5.88,5.88,5.68,5.88
2020-05-14,19483324,125862179,6.46,6.46,6.46,6.46,0.58,3147,1.0,6.46,6.46,6.46,6.46
2020-05-15,18916230,134305112,7.1,7.1,7.1,7.1,0.64,3679,1.0,7.1,7.1,7.1,7.1
2020-05-18,59331044,411555666,7.81,7.81,6.39,6.4,-0.7,12915,1.0,7.81,6.4,6.39,7.81
2020-05-19,33895577,200017470,6.0,6.32,5.76,5.79,-0.61,7523,1.0,6.0,5.79,5.76,6.32
2020-05-20,27667737,160207646,5.8,6.28,5.39,5.95,0.16,6932,1.0,5.8,5.95,5.39,6.28
2020-05-21,16302533,93674418,5.85,5.9,5.61,5.62,-0.33,4274,1.0,5.85,5.62,5.61,5.9
2020-05-22,12929108,74031796,5.61,5.84,5.6,5.7,0.08,3088,1.0,5.61,5.7,5.6,5.84
2020-05-25,8523409,47795837,5.77,5.81,5.5,5.57,-0.13,2150,1.0,5.77,5.57,5.5,5.81
2020-05-26,6763968,37869968,5.62,5.67,5.5,5.59,0.02,1600,1.0,5.62,5.59,5.5,5.67
2020-05-27,15178384,88275548,5.68,5.97,5.62,5.8,0.21,3937,1.0,5.68,5.8,5.62,5.97
2020-05-28,9906535,56204331,5.88,5.89,5.61,5.61,-0.19,2278,1.0,5.88,5.61,5.61,5.89
