Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,2748764,261101484,93.5,96.4,93.0,95.8,0.2,1966,0.8401601579004366,78.555,80.4873,78.1349,80.9914
2020-05-05,2952042,282668316,96.5,97.2,93.9,95.5,-0.3,1936,0.8401601579004366,81.0755,80.2353,78.891,81.6636
2020-05-06,1997367,190024665,96.6,96.6,94.0,94.3,-1.2,1414,0.8401601579004366,81.1595,79.2271,78.9751,81.1595
2020-05-07,5506700,519694200,93.0,96.3,92.5,95.8,1.5,3465,0.8401601579004366,78.1349,80.4873,77.7148,80.9074
2020-05-08,3464825,337038050,97.0,98.7,96.2,97.3,1.5,2316,0.8401601579004366,81.4955,81.7476,80.8234,82.9238
2020-05-11,5080400,506808897,98.1,101.5,98.1,99.0,1.7,3102,0.8401601579004366,82.4197,83.1759,82.4197,85.2763
2020-05-12,2714924,267538176,98.2,99.7,97.6,98.8,-0.2,1700,0.8401601579004366,82.5037,83.0078,81.9996,83.764
2020-05-13,2349603,230544903,98.5,99.0,97.1,99.0,0.2,1426,0.8401601579004366,82.7558,83.1759,81.5796,83.1759
2020-05-14,5512815,551443530,98.0,102.0,98.0,102.0,3.0,3334,0.8401601579004366,82.3357,85.6963,82.3357,85.6963
2020-05-15,12026605,1191978143,104.0,105.0,94.7,97.8,-4.2,7494,0.8401601579004366,87.3767,82.1677,79.5632,88.2168
2020-05-18,3020588,289343553,98.0,98.1,94.6,94.6,-3.2,2120,0.8401601579004366,82.3357,79.4792,79.4792,82.4197
2020-05-19,2181504,207489984,95.8,96.3,94.3,94.9,0.3,1642,0.8401601579004366,80.4873,79.7312,79.2271,80.9074
2020-05-20,1422645,135320238,95.4,95.6,94.5,95.1,0.2,906,0.8401601579004366,80.1513,79.8992,79.3951,80.3193
2020-05-21,16597216,1716340569,97.5,104.5,97.5,104.5,9.4,7633,0.8401601579004366,81.9156,87.7967,81.9156,87.7967
2020-05-22,29857515,3253128105,107.0,112.0,106.0,107.5,3.0,17109,0.8401601579004366,89.8971,90.3172,89.057,94.0979
2020-05-25,23880913,2710895839,111.0,118.0,109.5,116.5,9.0,15263,0.8401601579004366,93.2578,97.8787,91.9975,99.1389
2020-05-26,12624045,1449175630,117.5,117.5,113.0,114.0,-2.5,7991,0.8401601579004366,98.7188,95.7783,94.9381,98.7188
2020-05-27,8958459,1014252867,115.0,116.0,111.0,112.0,-2.0,5694,0.8401601579004366,96.6184,94.0979,93.2578,97.4586
2020-05-28,10603750,1186486500,114.5,116.0,107.5,109.0,-3.0,6711,0.8401601579004366,96.1983,91.5775,90.3172,97.4586
2020-05-29,13154465,1489505272,109.0,115.5,108.5,113.5,4.5,8845,0.8401601579004366,91.5775,95.3582,91.1574,97.0385
2020-06-01,20677423,2423811269,115.0,120.0,114.5,116.0,2.5,13226,0.8401601579004366,96.6184,97.4586,96.1983,100.8192
2020-06-02,26444508,3174890984,117.0,123.0,116.5,123.0,7.0,16476,0.8401601579004366,98.2987,103.3397,97.8787,103.3397
2020-06-03,14445795,1775961465,123.5,125.0,120.0,124.5,1.5,9712,0.8401601579004366,103.7598,104.5999,100.8192,105.02
2020-06-04,11789161,1426710981,124.0,124.0,118.5,120.5,-4.0,7364,0.8401601579004366,104.1799,101.2393,99.559,104.1799
2020-06-05,7208735,879406300,121.0,124.5,120.5,121.5,1.0,4923,0.8401601579004366,101.6594,102.0795,101.2393,104.5999
2020-06-08,8327957,1023784772,125.0,126.0,121.0,121.0,-0.5,5871,0.8401601579004366,105.02,101.6594,101.6594,105.8602
2020-06-09,5911519,716753818,121.0,123.5,119.5,121.5,0.5,3801,0.8401601579004366,101.6594,102.0795,100.3991,103.7598
2020-06-10,6017177,722448740,121.5,121.5,119.0,119.5,-2.0,4501,0.8401601579004366,102.0795,100.3991,99.9791,102.0795
2020-06-11,12336174,1416706836,118.0,118.5,112.0,113.0,-6.5,7734,0.8401601579004366,99.1389,94.9381,94.0979,99.559
2020-06-12,6969789,772646657,108.5,113.5,108.0,112.0,-1.0,4222,0.8401601579004366,91.1574,94.0979,90.7373,95.3582
2020-06-15,5350202,604981124,113.0,115.0,111.0,111.5,-0.5,3447,0.8401601579004366,94.9381,93.6779,93.2578,96.6184
2020-06-16,8570298,951374021,113.5,114.5,109.0,111.0,-0.5,5892,0.8401601579004366,95.3582,93.2578,91.5775,96.1983
2020-06-17,8572602,933542720,111.5,112.0,107.5,108.5,-2.5,6030,0.8401601579004366,93.6779,91.1574,90.3172,94.0979
2020-06-18,9869603,1110922948,110.0,114.5,109.5,114.0,5.5,6219,0.8401601579004366,92.4176,95.7783,91.9975,96.1983
2020-06-19,5856276,654367412,113.0,114.0,111.0,111.0,-3.0,3803,0.8401601579004366,94.9381,93.2578,93.2578,95.7783
2020-06-22,4269166,469765837,110.0,112.0,109.0,110.5,-0.5,3037,0.8401601579004366,92.4176,92.8377,91.5775,94.0979
2020-06-23,2443426,268723860,112.0,112.0,108.5,109.5,-1.0,1525,0.8401601579004366,94.0979,91.9975,91.1574,94.0979
2020-06-24,4171710,464500085,110.5,112.5,110.0,112.0,2.5,2879,0.8401601579004366,92.8377,94.0979,92.4176,94.518
2020-06-29,3318084,366064824,110.0,112.0,109.0,110.0,-2.0,1939,0.8401601579004366,92.4176,92.4176,91.5775,94.0979
2020-06-30,3310900,368406248,111.5,112.5,110.0,112.5,2.5,1822,0.8401601579004366,93.6779,94.518,92.4176,94.518
2020-07-01,8927749,1032911884,113.5,117.5,112.5,116.0,3.5,5920,0.8401601579004366,95.3582,97.4586,94.518,98.7188
2020-07-02,4377793,506069988,116.0,117.0,114.5,115.5,-0.5,2755,0.8401601579004366,97.4586,97.0385,96.1983,98.2987
2020-07-03,11672931,1391047220,116.5,122.5,115.0,120.0,4.5,7556,0.8401601579004366,97.8787,100.8192,96.6184,102.9196
2020-07-06,9393808,1136121856,121.0,123.5,119.0,119.5,-0.5,5732,0.8401601579004366,101.6594,100.3991,99.9791,103.7598
2020-07-07,9626946,1128932257,121.0,121.5,115.0,115.0,-4.5,5776,0.8401601579004366,101.6594,96.6184,96.6184,102.0795
2020-07-08,4758748,553531138,115.5,118.0,114.5,116.5,1.5,3061,0.8401601579004366,97.0385,97.8787,96.1983,99.1389
2020-07-09,5156356,597698113,118.0,118.0,115.0,115.0,-1.5,3137,0.8401601579004366,99.1389,96.6184,96.6184,99.1389
2020-07-10,4646577,524263833,114.0,115.0,111.0,111.5,-3.5,2675,0.8401601579004366,95.7783,93.6779,93.2578,96.6184
2020-07-13,9386173,1096220587,113.5,118.5,113.0,117.5,6.0,5177,0.8401601579004366,95.3582,98.7188,94.9381,99.559
2020-07-14,6035488,688900120,115.0,116.5,112.5,112.5,0.0,4230,0.8659545487131693,99.5848,97.4199,97.4199,100.8837
2020-07-15,11471069,1335505004,114.5,119.0,112.5,115.5,3.0,6703,0.8659545487131693,99.1518,100.0178,97.4199,103.0486
2020-07-16,28645969,3433123718,118.0,122.0,117.0,122.0,6.5,14263,0.8659545487131693,102.1826,105.6465,101.3167,105.6465
2020-07-17,16309696,1978919128,123.0,124.5,117.5,118.0,-4.0,9595,0.8659545487131693,106.5124,102.1826,101.7497,107.8113
2020-07-20,8170648,974878288,119.5,122.0,116.5,118.5,0.5,4888,0.8659545487131693,103.4816,102.6156,100.8837,105.6465
2020-07-21,31889874,4045291620,120.5,130.0,119.5,130.0,11.5,18132,0.8659545487131693,104.3475,112.5741,103.4816,112.5741
2020-07-22,56908299,7687486287,131.0,142.0,128.5,136.5,6.5,33577,0.8659545487131693,113.44,118.2028,111.2752,122.9655
2020-07-23,22033698,3048196720,139.0,141.0,136.0,139.5,3.0,13271,0.8659545487131693,120.3677,120.8007,117.7698,122.0996
2020-07-24,24319607,3367230838,138.5,143.0,133.5,134.0,-5.5,14365,0.8659545487131693,119.9347,116.0379,115.6049,123.8315
2020-07-27,16376847,2230384411,138.0,141.0,132.0,134.5,0.5,10016,0.8659545487131693,119.5017,116.4709,114.306,122.0996
2020-07-28,19087102,2530738598,136.5,139.0,127.0,128.5,-6.0,11434,0.8659545487131693,118.2028,111.2752,109.9762,120.3677
2020-07-29,9620062,1253999122,128.5,133.0,128.5,131.0,2.5,6030,0.8659545487131693,111.2752,113.44,111.2752,115.172
2020-07-30,6913310,906900730,132.0,132.5,129.0,132.0,1.0,4134,0.8659545487131693,114.306,114.306,111.7081,114.739
2020-07-31,21669499,2963309102,133.0,138.5,132.0,137.5,5.5,12080,0.8659545487131693,115.172,119.0688,114.306,119.9347
2020-08-03,7406081,999894435,138.0,138.5,133.0,133.5,-4.0,5111,0.8659545487131693,119.5017,115.6049,115.172,119.9347
2020-08-04,8041787,1073933032,134.0,135.5,131.5,135.5,2.0,5410,0.8659545487131693,116.0379,117.3368,113.873,117.3368
2020-08-05,9682534,1317589624,136.5,138.0,134.5,136.0,0.5,5362,0.8659545487131693,118.2028,117.7698,116.4709,119.5017
2020-08-06,16720122,2192228778,132.5,134.0,128.5,133.5,-2.5,10020,0.8659545487131693,114.739,115.6049,111.2752,116.0379
2020-08-07,31284016,4225992096,140.0,140.0,129.5,129.5,-4.0,17975,0.8659545487131693,121.2336,112.1411,112.1411,121.2336
2020-08-10,11610483,1530159992,130.5,134.5,128.5,132.0,2.5,6819,0.8659545487131693,113.0071,114.306,111.2752,116.4709
2020-08-11,7021429,923041411,132.0,134.5,129.0,131.5,-0.5,4166,0.8659545487131693,114.306,113.873,111.7081,116.4709
2020-08-12,5450122,719320348,132.0,133.5,129.5,132.5,1.0,3781,0.8659545487131693,114.306,114.739,112.1411,115.6049
