Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,1277439,21426977,16.9,16.9,16.65,16.75,-0.4,570,0.8105593627737354,13.6985,13.5769,13.4958,13.6985
2020-05-05,1587057,26935323,16.85,17.15,16.8,16.85,0.1,656,0.8105593627737354,13.6579,13.6579,13.6174,13.9011
2020-05-06,1620273,27309493,17.1,17.1,16.7,16.8,-0.05,601,0.8105593627737354,13.8606,13.6174,13.5363,13.8606
2020-05-07,1262133,21326833,16.85,17.0,16.75,16.95,0.15,512,0.8105593627737354,13.6579,13.739,13.5769,13.7795
2020-05-08,1749575,29668329,17.0,17.1,16.8,16.8,-0.15,628,0.8105593627737354,13.7795,13.6174,13.6174,13.8606
2020-05-11,2108112,35922274,17.0,17.25,16.7,17.05,0.25,734,0.8105593627737354,13.7795,13.82,13.5363,13.9821
2020-05-12,1015729,17246572,17.1,17.15,16.8,17.0,-0.05,502,0.8105593627737354,13.8606,13.7795,13.6174,13.9011
2020-05-13,1760102,29869590,16.95,17.25,16.8,16.85,-0.15,777,0.8105593627737354,13.739,13.6579,13.6174,13.9821
2020-05-14,3784594,62289729,16.75,16.8,16.25,16.3,-0.55,1065,0.8105593627737354,13.5769,13.2121,13.1716,13.6174
2020-05-15,1467255,23813582,16.35,16.5,16.0,16.1,-0.2,626,0.8105593627737354,13.2526,13.05,12.9689,13.3742
2020-05-18,1192185,19038813,16.15,16.3,15.8,15.9,-0.2,494,0.8105593627737354,13.0905,12.8879,12.8068,13.2121
2020-05-19,806856,13024582,16.15,16.25,16.05,16.2,0.3,367,0.8105593627737354,13.0905,13.1311,13.0095,13.1716
2020-05-20,934992,15334562,16.25,16.55,16.2,16.4,0.2,441,0.8105593627737354,13.1716,13.2932,13.1311,13.4148
2020-05-21,868025,14407017,16.5,16.7,16.5,16.7,0.3,371,0.8105593627737354,13.3742,13.5363,13.3742,13.5363
2020-05-22,1007746,16535457,16.7,16.7,16.2,16.25,-0.45,465,0.8105593627737354,13.5363,13.1716,13.1311,13.5363
2020-05-25,696340,11328234,16.25,16.45,16.0,16.45,0.2,321,0.8105593627737354,13.1716,13.3337,12.9689,13.3337
2020-05-26,1117795,18635903,16.55,16.8,16.55,16.6,0.15,489,0.8105593627737354,13.4148,13.4553,13.4148,13.6174
2020-05-27,710108,11816936,16.75,16.75,16.5,16.7,0.1,288,0.8105593627737354,13.5769,13.5363,13.3742,13.5769
2020-05-28,852784,14205568,16.8,16.85,16.5,16.5,-0.2,378,0.8105593627737354,13.6174,13.3742,13.3742,13.6579
2020-05-29,423953,6970066,16.45,16.6,16.35,16.4,-0.1,202,0.8105593627737354,13.3337,13.2932,13.2526,13.4553
2020-06-01,736950,12207603,16.5,16.7,16.4,16.6,0.2,335,0.8105593627737354,13.3742,13.4553,13.2932,13.5363
2020-06-02,1526205,25647403,16.65,16.9,16.6,16.9,0.3,604,0.8105593627737354,13.4958,13.6985,13.4553,13.6985
2020-06-03,8715679,151069998,17.1,17.5,17.05,17.3,0.4,3053,0.8105593627737354,13.8606,14.0227,13.82,14.1848
2020-06-04,2494571,42825305,17.15,17.45,17.05,17.2,-0.1,952,0.8105593627737354,13.9011,13.9416,13.82,14.1443
2020-06-05,2225108,38756540,17.2,17.6,17.1,17.5,0.3,931,0.8105593627737354,13.9416,14.1848,13.8606,14.2658
2020-06-08,1675992,29257055,17.7,17.7,17.3,17.4,-0.1,652,0.8105593627737354,14.3469,14.1037,14.0227,14.3469
2020-06-09,1292168,22480105,17.5,17.55,17.3,17.35,-0.05,443,0.8105593627737354,14.1848,14.0632,14.0227,14.2253
2020-06-10,1355115,23703733,17.4,17.6,17.4,17.4,0.05,509,0.8105593627737354,14.1037,14.1037,14.1037,14.2658
2020-06-11,14183711,254968139,17.7,18.5,17.2,17.3,-0.1,5364,0.8105593627737354,14.3469,14.0227,13.9416,14.9953
2020-06-12,2376019,40346881,16.9,17.25,16.65,17.2,-0.1,956,0.8105593627737354,13.6985,13.9416,13.4958,13.9821
2020-06-15,4013641,71310774,17.5,18.05,17.5,17.7,0.5,1842,0.8105593627737354,14.1848,14.3469,14.1848,14.6306
2020-06-16,2710001,48800468,18.25,18.3,17.85,17.9,0.2,1070,0.8105593627737354,14.7927,14.509,14.4685,14.8332
2020-06-17,6002125,110038600,18.0,18.6,17.75,18.45,0.55,2463,0.8105593627737354,14.5901,14.9548,14.3874,15.0764
2020-06-18,10977568,205790910,18.55,19.1,18.1,19.1,0.65,4025,0.8105593627737354,15.0359,15.4817,14.6711,15.4817
2020-06-19,5158121,95579134,19.0,19.0,18.25,18.35,-0.75,2119,0.8105593627737354,15.4006,14.8738,14.7927,15.4006
2020-06-22,2470278,44703843,18.2,18.5,17.9,18.0,-0.35,1194,0.8105593627737354,14.7522,14.5901,14.509,14.9953
2020-06-23,1622000,29268450,18.2,18.3,17.9,17.95,-0.05,706,0.8105593627737354,14.7522,14.5495,14.509,14.8332
2020-06-24,2568869,46939463,18.1,18.45,18.1,18.2,0.25,1204,0.8105593627737354,14.6711,14.7522,14.6711,14.9548
2020-06-29,957086,17259509,18.0,18.2,17.9,18.1,-0.1,543,0.8105593627737354,14.5901,14.6711,14.509,14.7522
2020-06-30,3011290,56089428,18.8,18.8,18.45,18.45,0.35,1408,0.8105593627737354,15.2385,14.9548,14.9548,15.2385
2020-07-01,1633572,30342950,18.55,18.8,18.4,18.45,0.0,627,0.8105593627737354,15.0359,14.9548,14.9143,15.2385
2020-07-02,1672529,31132339,18.6,18.75,18.45,18.7,0.25,729,0.8105593627737354,15.0764,15.1575,14.9548,15.198
2020-07-03,1962106,36610802,18.8,18.9,18.5,18.55,-0.15,730,0.8105593627737354,15.2385,15.0359,14.9953,15.3196
2020-07-06,10791877,208538086,18.65,19.7,18.65,19.2,0.65,3925,0.8105593627737354,15.1169,15.5627,15.1169,15.968
2020-07-07,3326473,63339509,19.25,19.4,18.65,19.0,-0.2,1430,0.8105593627737354,15.6033,15.4006,15.1169,15.7249
2020-07-08,1793344,34008486,19.0,19.1,18.8,19.0,0.0,706,0.8105593627737354,15.4006,15.4006,15.2385,15.4817
2020-07-09,2742915,52175779,19.2,19.3,18.8,18.85,-0.15,1345,0.8105593627737354,15.5627,15.279,15.2385,15.6438
2020-07-10,2699034,49814249,19.05,19.05,18.25,18.3,-0.55,1093,0.8105593627737354,15.4412,14.8332,14.7927,15.4412
2020-07-13,4836146,92382428,18.8,19.4,18.75,19.15,0.85,1955,0.8105593627737354,15.2385,15.5222,15.198,15.7249
2020-07-14,3063901,57972443,19.15,19.35,18.6,19.25,0.1,1303,0.8105593627737354,15.5222,15.6033,15.0764,15.6843
2020-07-15,4861350,91972507,19.5,19.5,18.5,18.5,-0.75,1659,0.8105593627737354,15.8059,14.9953,14.9953,15.8059
2020-07-16,5184621,98765928,18.75,19.25,18.65,19.15,0.65,1930,0.8105593627737354,15.198,15.5222,15.1169,15.6033
2020-07-17,3027541,56530329,18.9,18.95,18.25,18.35,0.0,1278,0.8322901767891171,15.7303,15.2725,15.1893,15.7719
2020-07-20,1880598,33945072,18.3,18.45,17.8,18.1,-0.25,773,0.8322901767891171,15.2309,15.0645,14.8148,15.3558
2020-07-21,3997010,75074337,18.35,19.05,18.25,18.8,0.7,1562,0.8322901767891171,15.2725,15.6471,15.1893,15.8551
2020-07-22,1805595,34203361,18.75,19.2,18.75,18.85,0.05,710,0.8322901767891171,15.6054,15.6887,15.6054,15.98
2020-07-23,1205568,22696319,19.1,19.1,18.7,18.7,-0.15,596,0.8322901767891171,15.8967,15.5638,15.5638,15.8967
2020-07-24,3074000,55909400,18.7,18.8,17.8,18.15,-0.55,1237,0.8322901767891171,15.5638,15.1061,14.8148,15.6471
2020-07-27,2314144,41107312,18.05,18.2,17.55,17.6,-0.55,983,0.8322901767891171,15.0228,14.6483,14.6067,15.1477
2020-07-28,2137416,37140139,17.65,17.95,17.05,17.05,-0.55,903,0.8322901767891171,14.6899,14.1905,14.1905,14.9396
2020-07-29,884121,15261148,17.1,17.5,17.05,17.15,0.1,477,0.8322901767891171,14.2322,14.2738,14.1905,14.5651
2020-07-30,1425228,25059257,17.2,17.85,17.2,17.8,0.65,591,0.8322901767891171,14.3154,14.8148,14.3154,14.8564
2020-07-31,3444578,62389960,17.95,18.25,17.95,18.1,0.3,1264,0.8322901767891171,14.9396,15.0645,14.9396,15.1893
