Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,2245322,27631696,12.0,12.55,12.0,12.1,-0.9,804,1.0,12.0,12.1,12.0,12.55
2020-05-05,1575135,19116582,12.45,12.5,11.8,12.2,0.1,565,1.0,12.45,12.2,11.8,12.5
2020-05-06,1138220,13634840,12.15,12.15,11.8,12.0,-0.2,456,1.0,12.15,12.0,11.8,12.15
2020-05-07,696000,8323800,12.05,12.1,11.85,11.95,-0.05,264,1.0,12.05,11.95,11.85,12.1
2020-05-08,1087556,13365859,12.1,12.55,12.05,12.3,0.35,404,1.0,12.1,12.3,12.05,12.55
2020-05-11,2538700,33616899,12.8,13.5,12.55,13.5,1.2,762,1.0,12.8,13.5,12.55,13.5
2020-05-12,1789174,25076725,14.5,14.5,13.7,13.95,0.45,793,1.0,14.5,13.95,13.7,14.5
2020-05-13,831257,11274918,13.95,13.95,13.3,13.5,-0.45,331,1.0,13.95,13.5,13.3,13.95
2020-05-14,605212,8028390,13.4,13.4,13.0,13.4,-0.1,224,1.0,13.4,13.4,13.0,13.4
2020-05-15,616707,8386836,13.3,13.9,13.3,13.35,-0.05,257,1.0,13.3,13.35,13.3,13.9
2020-05-18,445001,5929513,13.4,13.55,13.1,13.2,-0.15,140,1.0,13.4,13.2,13.1,13.55
2020-05-19,287100,3804739,13.4,13.7,13.05,13.3,0.1,145,1.0,13.4,13.3,13.05,13.7
2020-05-20,600548,7849528,13.55,13.55,12.9,13.15,-0.15,207,1.0,13.55,13.15,12.9,13.55
2020-05-21,439066,5678699,13.2,13.2,12.75,13.0,-0.15,184,1.0,13.2,13.0,12.75,13.2
2020-05-22,450048,5709162,12.95,12.95,12.6,12.65,-0.35,170,1.0,12.95,12.65,12.6,12.95
2020-05-25,465533,5724254,12.75,12.75,12.1,12.35,-0.3,200,1.0,12.75,12.35,12.1,12.75
2020-05-26,456702,5623633,12.45,12.55,12.1,12.35,0.0,187,1.0,12.45,12.35,12.1,12.55
2020-05-27,338127,4108630,12.4,12.6,12.0,12.05,-0.3,156,1.0,12.4,12.05,12.0,12.6
2020-05-28,273192,3346423,12.1,12.5,12.05,12.2,0.15,103,1.0,12.1,12.2,12.05,12.5
2020-05-29,194880,2394822,12.25,12.35,12.1,12.35,0.15,88,1.0,12.25,12.35,12.1,12.35
2020-06-01,197101,2443357,12.4,12.6,12.3,12.45,0.1,105,1.0,12.4,12.45,12.3,12.6
2020-06-02,233306,2922874,12.7,12.7,12.45,12.6,0.15,101,1.0,12.7,12.6,12.45,12.7
2020-06-03,233512,2936547,12.7,12.7,12.5,12.55,-0.05,115,1.0,12.7,12.55,12.5,12.7
2020-06-04,333588,4157110,12.6,12.6,12.3,12.4,-0.15,117,1.0,12.6,12.4,12.3,12.6
2020-06-05,398001,4971812,12.5,12.65,12.4,12.6,0.2,137,1.0,12.5,12.6,12.4,12.65
2020-06-08,434536,5435068,12.65,12.65,12.4,12.6,0.0,146,1.0,12.65,12.6,12.4,12.65
2020-06-09,218369,2734841,12.65,12.65,12.45,12.45,-0.15,93,1.0,12.65,12.45,12.45,12.65
2020-06-10,469353,5814262,12.5,12.6,12.25,12.6,0.15,139,1.0,12.5,12.6,12.25,12.6
2020-06-11,483873,5945772,12.3,12.45,12.1,12.45,-0.15,171,1.0,12.3,12.45,12.1,12.45
2020-06-12,264001,3216412,12.05,12.25,12.0,12.25,-0.2,97,1.0,12.05,12.25,12.0,12.25
2020-06-15,534232,6424006,12.2,12.2,11.9,11.9,-0.35,181,1.0,12.2,11.9,11.9,12.2
2020-06-16,264039,3171119,11.95,12.05,11.9,12.05,0.15,122,1.0,11.95,12.05,11.9,12.05
2020-06-17,322007,3852833,12.05,12.1,11.9,11.95,-0.1,120,1.0,12.05,11.95,11.9,12.1
2020-06-18,248132,2985210,11.95,12.1,11.9,12.1,0.15,95,1.0,11.95,12.1,11.9,12.1
2020-06-19,286067,3431046,12.1,12.1,11.9,11.9,-0.2,111,1.0,12.1,11.9,11.9,12.1
2020-06-22,384000,4572450,11.95,12.0,11.85,11.85,-0.05,137,1.0,11.95,11.85,11.85,12.0
2020-06-23,291058,3419684,11.85,11.85,11.7,11.7,-0.15,135,1.0,11.85,11.7,11.7,11.85
2020-06-24,350000,4084500,11.8,11.8,11.5,11.8,0.1,147,1.0,11.8,11.8,11.5,11.8
2020-06-29,254499,2942613,11.6,11.7,11.45,11.45,-0.35,105,1.0,11.6,11.45,11.45,11.7
2020-06-30,453858,5135045,11.45,11.5,11.2,11.35,-0.1,184,1.0,11.45,11.35,11.2,11.5
2020-07-01,445807,4972838,11.25,11.3,11.0,11.3,-0.05,214,1.0,11.25,11.3,11.0,11.3
2020-07-02,1208511,13503869,11.4,11.4,11.0,11.2,-0.1,172,1.0,11.4,11.2,11.0,11.4
2020-07-03,487010,5398310,11.4,11.4,10.95,11.1,-0.1,211,1.0,11.4,11.1,10.95,11.4
2020-07-06,622069,6845298,11.1,11.15,10.9,10.9,-0.2,289,1.0,11.1,10.9,10.9,11.15
2020-07-07,494001,5346510,10.9,11.0,10.65,10.9,0.0,217,1.0,10.9,10.9,10.65,11.0
2020-07-08,267104,2926337,10.9,11.0,10.9,10.95,0.05,133,1.0,10.9,10.95,10.9,11.0
2020-07-09,949831,11102372,11.0,12.0,10.95,12.0,1.05,341,1.0,11.0,12.0,10.95,12.0
2020-07-10,2026813,25723049,12.3,13.2,12.3,12.4,0.4,721,1.0,12.3,12.4,12.3,13.2
