Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,2240794,158741186,70.6,71.4,70.2,70.7,-1.9,1483,0.8246595142616848,58.221,58.3034,57.8911,58.8807
2020-05-05,1935649,137866377,71.3,71.8,70.5,71.2,0.5,1318,0.8246595142616848,58.7982,58.7158,58.1385,59.2106
2020-05-06,2282108,163086076,71.6,72.2,70.2,71.3,0.1,1496,0.8246595142616848,59.0456,58.7982,57.8911,59.5404
2020-05-07,4875041,357423253,72.0,74.6,71.8,74.6,3.3,3412,0.8246595142616848,59.3755,61.5196,59.2106,61.5196
2020-05-08,10187747,727494637,72.5,73.5,70.3,70.7,-3.9,6831,0.8246595142616848,59.7878,58.3034,57.9736,60.6125
2020-05-11,3153401,222997008,70.3,71.4,70.0,70.9,0.2,2027,0.8246595142616848,57.9736,58.4684,57.7262,58.8807
2020-05-12,3195231,227480032,71.8,71.9,70.2,71.0,0.1,2144,0.8246595142616848,59.2106,58.5508,57.8911,59.293
2020-05-13,1688920,119916899,71.3,71.6,70.5,70.8,-0.2,1223,0.8246595142616848,58.7982,58.3859,58.1385,59.0456
2020-05-14,2681820,187064903,70.8,71.0,68.5,68.8,-2.0,1928,0.8246595142616848,58.3859,56.7366,56.4892,58.5508
2020-05-15,3576410,242392059,69.4,69.7,66.2,67.2,-1.6,2489,0.8246595142616848,57.2314,55.4171,54.5925,57.4788
2020-05-18,2314529,156132928,67.2,68.5,66.6,67.3,0.1,1603,0.8246595142616848,55.4171,55.4996,54.9223,56.4892
2020-05-19,1571275,106778063,68.2,68.5,67.5,68.0,0.7,978,0.8246595142616848,56.2418,56.0768,55.6645,56.4892
2020-05-20,1402050,96148550,68.5,69.3,68.1,68.2,0.2,993,0.8246595142616848,56.4892,56.2418,56.1593,57.1489
2020-05-21,1726795,120126050,68.9,70.3,68.7,69.6,1.4,1229,0.8246595142616848,56.819,57.3963,56.6541,57.9736
2020-05-22,1591221,108972744,70.0,70.0,68.0,68.1,-1.5,1181,0.8246595142616848,57.7262,56.1593,56.0768,57.7262
2020-05-25,1439601,98541027,68.9,69.5,67.1,69.0,0.9,1032,0.8246595142616848,56.819,56.9015,55.3347,57.3138
2020-05-26,1897586,132901283,70.0,70.6,69.4,69.5,0.5,1391,0.8246595142616848,57.7262,57.3138,57.2314,58.221
2020-05-27,1644151,115623996,69.8,71.0,69.7,70.2,0.7,1248,0.8246595142616848,57.5612,57.8911,57.4788,58.5508
2020-05-28,2074121,145234071,71.0,71.3,68.8,68.8,-1.4,1435,0.8246595142616848,58.5508,56.7366,56.7366,58.7982
2020-05-29,1326824,91192956,69.2,69.7,68.2,68.5,-0.3,950,0.8246595142616848,57.0664,56.4892,56.2418,57.4788
2020-06-01,2343461,164731239,69.3,71.0,68.9,70.6,2.1,1687,0.8246595142616848,57.1489,58.221,56.819,58.5508
2020-06-02,10255628,742231796,71.3,73.6,70.7,72.3,1.7,6904,0.8246595142616848,58.7982,59.6229,58.3034,60.6949
2020-06-03,5087560,370853049,73.4,74.0,72.2,72.4,0.1,3441,0.8246595142616848,60.53,59.7053,59.5404,61.0248
2020-06-04,3105123,223192237,73.0,73.0,71.3,71.4,-1.0,2150,0.8246595142616848,60.2001,58.8807,58.7982,60.2001
2020-06-05,2117746,152489253,71.7,72.5,71.3,72.5,1.1,1462,0.8246595142616848,59.1281,59.7878,58.7982,59.7878
2020-06-08,2970460,213504720,72.5,72.6,71.5,71.5,-1.0,1919,0.8246595142616848,59.7878,58.9632,58.9632,59.8703
2020-06-09,2426907,174801435,72.0,72.6,71.3,72.4,0.9,1681,0.8246595142616848,59.3755,59.7053,58.7982,59.8703
2020-06-10,12206867,899845491,73.0,75.7,72.1,72.2,-0.2,7572,0.8246595142616848,60.2001,59.5404,59.458,62.4267
2020-06-11,4821286,341198661,72.2,72.4,69.9,69.9,-2.3,3314,0.8246595142616848,59.5404,57.6437,57.6437,59.7053
2020-06-12,3647851,248784688,67.5,69.2,67.1,68.8,-1.1,2439,0.8246595142616848,55.6645,56.7366,55.3347,57.0664
