Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,1390184,30928532,22.95,22.95,21.95,22.0,-1.05,711,0.7508446295842819,17.2319,16.5186,16.481,17.2319
2020-05-05,813589,18171686,22.0,22.5,22.0,22.5,0.5,413,0.7508446295842819,16.5186,16.894,16.5186,16.894
2020-05-06,768083,17388615,22.65,22.85,22.25,22.65,0.15,358,0.7508446295842819,17.0066,17.0066,16.7063,17.1568
2020-05-07,973746,22304880,22.55,23.1,22.55,22.8,0.15,344,0.7508446295842819,16.9315,17.1193,16.9315,17.3445
2020-05-08,1245517,28900910,23.0,23.45,22.9,23.25,0.45,573,0.7508446295842819,17.2694,17.4571,17.1943,17.6073
2020-05-11,668429,15611447,23.5,23.55,23.25,23.35,0.1,285,0.7508446295842819,17.6448,17.5322,17.4571,17.6824
2020-05-12,1169579,26639778,23.1,23.1,22.6,22.6,-0.75,509,0.7508446295842819,17.3445,16.9691,16.9691,17.3445
2020-05-13,401639,9143649,22.55,22.95,22.55,22.7,0.1,225,0.7508446295842819,16.9315,17.0442,16.9315,17.2319
2020-05-14,637001,14412521,22.7,22.8,22.4,22.55,-0.15,270,0.7508446295842819,17.0442,16.9315,16.8189,17.1193
2020-05-15,2170760,50582055,22.6,23.75,22.6,23.75,1.2,819,0.7508446295842819,16.9691,17.8326,16.9691,17.8326
2020-05-18,704389,16707861,23.75,23.95,23.35,23.8,0.05,373,0.7508446295842819,17.8326,17.8701,17.5322,17.9827
2020-05-19,2572431,62266849,23.95,24.5,23.95,24.3,0.5,797,0.7508446295842819,17.9827,18.2455,17.9827,18.3957
2020-05-20,1739467,42407726,24.35,24.5,24.2,24.2,-0.1,704,0.7508446295842819,18.2831,18.1704,18.1704,18.3957
2020-05-21,808517,19453247,24.3,24.45,23.8,24.05,-0.15,439,0.7508446295842819,18.2455,18.0578,17.8701,18.3582
2020-05-22,762891,18149679,23.9,24.0,23.55,23.65,-0.4,321,0.7508446295842819,17.9452,17.7575,17.6824,18.0203
2020-05-25,936599,22612690,23.55,24.6,23.55,24.45,0.8,492,0.7508446295842819,17.6824,18.3582,17.6824,18.4708
2020-05-26,1347124,32678450,24.6,24.6,23.95,24.35,-0.1,578,0.7508446295842819,18.4708,18.2831,17.9827,18.4708
2020-05-27,1047829,25427222,24.15,24.5,23.9,24.5,0.15,484,0.7508446295842819,18.1329,18.3957,17.9452,18.3957
2020-05-28,3493100,86434805,24.6,25.0,24.1,24.2,-0.3,615,0.7508446295842819,18.4708,18.1704,18.0954,18.7711
2020-05-29,1621430,39023220,24.65,24.65,24.0,24.0,-0.2,394,0.7508446295842819,18.5083,18.0203,18.0203,18.5083
2020-06-01,777385,18963779,24.2,24.55,24.0,24.4,0.4,344,0.7508446295842819,18.1704,18.3206,18.0203,18.4332
2020-06-02,592763,14545544,24.4,24.75,24.4,24.6,0.2,323,0.7508446295842819,18.3206,18.4708,18.3206,18.5834
2020-06-03,2620079,65253495,24.65,25.15,24.55,25.05,0.45,1047,0.7508446295842819,18.5083,18.8087,18.4332,18.8837
2020-06-04,1131398,28345965,25.2,25.2,24.9,25.1,0.05,397,0.7508446295842819,18.9213,18.8462,18.696,18.9213
2020-06-05,568194,14193725,25.1,25.1,24.85,24.95,-0.15,295,0.7508446295842819,18.8462,18.7336,18.6585,18.8462
2020-06-08,1216420,30692317,25.15,25.4,25.0,25.35,0.4,526,0.7508446295842819,18.8837,19.0339,18.7711,19.0715
2020-06-09,1251392,31815160,25.35,25.5,25.25,25.45,0.1,500,0.7508446295842819,19.0339,19.109,18.9588,19.1465
2020-06-10,1213140,30938395,25.3,25.65,25.3,25.6,0.15,569,0.7508446295842819,18.9964,19.2216,18.9964,19.2592
2020-06-11,1960031,49246015,25.7,25.7,24.75,24.95,-0.65,692,0.7508446295842819,19.2967,18.7336,18.5834,19.2967
2020-06-12,1545503,38607969,24.45,25.4,24.15,25.35,0.4,543,0.7508446295842819,18.3582,19.0339,18.1329,19.0715
2020-06-15,1039327,25964470,25.35,25.4,24.7,24.95,-0.4,577,0.7508446295842819,19.0339,18.7336,18.5459,19.0715
2020-06-16,1081179,27130449,25.0,25.3,24.75,25.05,0.1,586,0.7508446295842819,18.7711,18.8087,18.5834,18.9964
2020-06-17,938804,23435252,25.05,25.15,24.8,24.85,-0.2,498,0.7508446295842819,18.8087,18.6585,18.6209,18.8837
2020-06-18,699097,17332279,24.85,24.95,24.65,24.65,-0.2,347,0.7508446295842819,18.6585,18.5083,18.5083,18.7336
2020-06-19,735343,18237984,24.65,25.0,24.65,24.75,0.1,215,0.7508446295842819,18.5083,18.5834,18.5083,18.7711
2020-06-22,3195740,80622113,24.8,25.55,24.8,25.05,0.3,1010,0.7508446295842819,18.6209,18.8087,18.6209,19.1841
2020-06-23,708918,17826273,24.95,25.45,24.7,25.3,0.25,349,0.7508446295842819,18.7336,18.9964,18.5459,19.109
2020-06-24,887934,22498439,25.35,25.45,25.2,25.2,-0.1,321,0.7508446295842819,19.0339,18.9213,18.9213,19.109
2020-06-29,733986,18527287,25.3,25.45,25.1,25.3,0.1,316,0.7508446295842819,18.9964,18.9964,18.8462,19.109
2020-06-30,2323125,58353645,25.3,25.3,24.9,24.9,-0.4,501,0.7508446295842819,18.9964,18.696,18.696,18.9964
2020-07-01,1196765,30058278,24.95,25.3,24.95,24.95,0.05,338,0.7508446295842819,18.7336,18.7336,18.7336,18.9964
2020-07-02,1409274,35475074,24.95,25.3,24.95,25.1,0.15,339,0.7508446295842819,18.7336,18.8462,18.7336,18.9964
2020-07-03,462406,11651166,25.1,25.3,25.1,25.2,0.1,201,0.7508446295842819,18.8462,18.9213,18.8462,18.9964
2020-07-06,2536419,64124035,25.25,25.4,25.1,25.25,0.05,764,0.7508446295842819,18.9588,18.9588,18.8462,19.0715
2020-07-07,608907,15317068,25.35,25.35,25.0,25.0,-0.25,370,0.7508446295842819,19.0339,18.7711,18.7711,19.0339
2020-07-08,912453,22809475,25.05,25.15,24.9,24.95,-0.05,530,0.7508446295842819,18.8087,18.7336,18.696,18.8837
2020-07-09,1012907,25476009,24.95,25.3,24.95,25.15,0.2,356,0.7508446295842819,18.7336,18.8837,18.7336,18.9964
2020-07-10,685662,17127259,25.15,25.15,24.8,25.1,-0.05,281,0.7508446295842819,18.8837,18.8462,18.6209,18.8837
2020-07-13,985573,24749925,25.2,25.2,25.0,25.15,0.05,353,0.7508446295842819,18.9213,18.8837,18.7711,18.9213
2020-07-14,3016026,75920287,25.25,25.4,25.0,25.2,0.05,741,0.7508446295842819,18.9588,18.9213,18.7711,19.0715
2020-07-15,2822738,69210036,24.4,24.75,24.4,24.55,0.0,691,0.7754624862919633,18.9213,19.0376,18.9213,19.1927
2020-07-16,1587845,38870604,24.5,24.65,24.35,24.4,-0.15,731,0.7754624862919633,18.9988,18.9213,18.8825,19.1152
2020-07-17,2244169,54060856,24.55,24.55,23.8,23.8,-0.6,900,0.7754624862919633,19.0376,18.456,18.456,19.0376
2020-07-20,2644895,62282779,23.8,23.85,23.4,23.65,-0.15,735,0.7754624862919633,18.456,18.3397,18.1458,18.4948
2020-07-21,2068094,49594006,23.55,24.3,23.55,24.15,0.5,793,0.7754624862919633,18.2621,18.7274,18.2621,18.8437
2020-07-22,1050755,25406839,24.15,24.3,24.05,24.2,0.05,445,0.7754624862919633,18.7274,18.7662,18.6499,18.8437
2020-07-23,1076718,26054249,24.1,24.35,24.1,24.2,0.0,463,0.7754624862919633,18.6886,18.7662,18.6886,18.8825
2020-07-24,1268472,30736142,24.1,24.35,24.0,24.25,0.05,521,0.7754624862919633,18.6886,18.805,18.6111,18.8825
2020-07-27,1733840,41789670,24.15,24.3,24.0,24.05,-0.2,528,0.7754624862919633,18.7274,18.6499,18.6111,18.8437
2020-07-28,2854170,68017098,24.05,24.15,23.6,24.0,-0.05,655,0.7754624862919633,18.6499,18.6111,18.3009,18.7274
2020-07-29,534079,12736503,24.2,24.2,23.6,23.6,-0.4,429,0.7754624862919633,18.7662,18.3009,18.3009,18.7662
2020-07-30,589529,13995929,23.85,23.9,23.6,23.7,0.1,306,0.7754624862919633,18.4948,18.3785,18.3009,18.5336
2020-07-31,1220049,29105046,23.7,24.15,23.55,23.55,-0.15,411,0.7754624862919633,18.3785,18.2621,18.2621,18.7274
