Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,793621,8619907,11.1,11.1,10.75,10.8,-0.3,376,0.6817660512234233,7.5676,7.3631,7.329,7.5676
2020-05-05,564106,6114976,10.8,10.95,10.8,10.8,0.0,205,0.6817660512234233,7.3631,7.3631,7.3631,7.4653
2020-05-06,638436,6883958,10.9,10.9,10.7,10.7,-0.1,221,0.6817660512234233,7.4312,7.2949,7.2949,7.4312
2020-05-07,947295,10290774,10.7,11.0,10.7,10.95,0.25,296,0.6817660512234233,7.2949,7.4653,7.2949,7.4994
2020-05-08,771005,8414293,11.1,11.15,10.75,10.75,-0.2,282,0.6817660512234233,7.5676,7.329,7.329,7.6017
2020-05-11,1117804,11900302,10.85,10.85,10.55,10.7,-0.05,385,0.6817660512234233,7.3972,7.2949,7.1926,7.3972
2020-05-12,579934,6134105,10.7,10.7,10.55,10.55,-0.15,205,0.6817660512234233,7.2949,7.1926,7.1926,7.2949
2020-05-13,385199,4086501,10.55,10.7,10.5,10.65,0.1,165,0.6817660512234233,7.1926,7.2608,7.1585,7.2949
2020-05-14,836237,8974928,10.75,10.85,10.65,10.65,0.0,302,0.6817660512234233,7.329,7.2608,7.2608,7.3972
2020-05-15,420090,4467848,10.8,10.8,10.55,10.65,0.0,214,0.6817660512234233,7.3631,7.2608,7.1926,7.3631
2020-05-18,414495,4445165,10.65,10.8,10.65,10.7,0.05,180,0.6817660512234233,7.2608,7.2949,7.2608,7.3631
2020-05-19,356776,3840375,10.8,10.8,10.7,10.8,0.1,177,0.6817660512234233,7.3631,7.3631,7.2949,7.3631
2020-05-20,462748,4938306,10.75,10.75,10.55,10.65,-0.15,175,0.6817660512234233,7.329,7.2608,7.1926,7.329
2020-05-21,916977,9685590,10.7,10.75,10.5,10.5,-0.15,513,0.6817660512234233,7.2949,7.1585,7.1585,7.329
2020-05-22,1864338,19209696,10.3,10.6,9.99,10.6,0.1,541,0.6817660512234233,7.0222,7.2267,6.8108,7.2267
2020-05-25,455813,4809266,10.55,10.65,10.45,10.55,-0.05,197,0.6817660512234233,7.1926,7.1926,7.1245,7.2608
2020-05-26,515097,5433462,10.55,10.6,10.5,10.5,-0.05,183,0.6817660512234233,7.1926,7.1585,7.1585,7.2267
2020-05-27,1341648,14471274,10.6,11.0,10.6,10.75,0.25,402,0.6817660512234233,7.2267,7.329,7.2267,7.4994
2020-05-28,685638,7329052,10.75,10.85,10.55,10.6,-0.15,259,0.6817660512234233,7.329,7.2267,7.1926,7.3972
2020-05-29,214532,2273532,10.55,10.7,10.55,10.55,-0.05,107,0.6817660512234233,7.1926,7.1926,7.1926,7.2949
2020-06-01,606377,6506752,10.65,10.8,10.55,10.65,0.1,251,0.6817660512234233,7.2608,7.2608,7.1926,7.3631
2020-06-02,665739,7188521,10.7,10.9,10.7,10.8,0.15,272,0.6817660512234233,7.2949,7.3631,7.2949,7.4312
2020-06-03,476192,5174560,10.9,10.95,10.8,10.9,0.1,245,0.6817660512234233,7.4312,7.4312,7.3631,7.4653
2020-06-04,482460,5253024,10.9,10.95,10.8,10.95,0.05,200,0.6817660512234233,7.4312,7.4653,7.3631,7.4653
2020-06-05,978830,10774676,10.95,11.2,10.9,11.05,0.1,389,0.6817660512234233,7.4653,7.5335,7.4312,7.6358
2020-06-08,581871,6417581,11.0,11.15,11.0,11.0,-0.05,219,0.6817660512234233,7.4994,7.4994,7.4994,7.6017
2020-06-09,518567,5750355,11.1,11.15,11.0,11.1,0.1,225,0.6817660512234233,7.5676,7.5676,7.4994,7.6017
2020-06-10,922257,10316542,11.15,11.3,11.1,11.15,0.05,319,0.6817660512234233,7.6017,7.6017,7.5676,7.704
2020-06-11,1090579,11916786,11.2,11.2,10.75,10.75,-0.4,428,0.6817660512234233,7.6358,7.329,7.329,7.6358
2020-06-12,533487,5683497,10.55,10.8,10.5,10.7,-0.05,226,0.6817660512234233,7.1926,7.2949,7.1585,7.3631
2020-06-15,338657,3614424,10.7,10.75,10.6,10.7,0.0,138,0.6817660512234233,7.2949,7.2949,7.2267,7.329
2020-06-16,529139,5701134,10.7,10.9,10.7,10.75,0.05,205,0.6817660512234233,7.2949,7.329,7.2949,7.4312
2020-06-17,608392,6625816,10.75,11.0,10.75,10.95,0.2,239,0.6817660512234233,7.329,7.4653,7.329,7.4994
2020-06-18,238497,2612878,11.0,11.05,10.9,10.95,0.0,139,0.6817660512234233,7.4994,7.4653,7.4312,7.5335
2020-06-19,558677,6168697,11.05,11.1,11.0,11.0,0.05,209,0.6817660512234233,7.5335,7.4994,7.4994,7.5676
2020-06-22,704165,7760286,11.05,11.15,10.9,10.95,-0.05,289,0.6817660512234233,7.5335,7.4653,7.4312,7.6017
2020-06-23,655003,7169733,11.0,11.05,10.85,11.05,0.1,228,0.6817660512234233,7.4994,7.5335,7.3972,7.5335
2020-06-24,582529,6375919,11.05,11.05,10.9,10.95,-0.1,212,0.6817660512234233,7.5335,7.4653,7.4312,7.5335
2020-06-29,888797,9731173,10.95,11.05,10.9,10.95,0.0,399,0.6817660512234233,7.4653,7.4653,7.4312,7.5335
2020-06-30,1736716,19569561,11.05,11.45,11.05,11.3,0.35,547,0.6817660512234233,7.5335,7.704,7.5335,7.8062
2020-07-01,3464659,40959537,11.6,12.05,11.6,11.95,0.65,1284,0.6817660512234233,7.9085,8.1471,7.9085,8.2153
2020-07-02,3910063,48003250,12.3,12.5,12.1,12.3,0.35,1344,0.6817660512234233,8.3857,8.3857,8.2494,8.5221
2020-07-03,1695028,20762825,12.3,12.45,12.1,12.2,-0.1,654,0.6817660512234233,8.3857,8.3175,8.2494,8.488
