Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,AdjFactor,Open_adj,Close_adj,Low_adj,High_adj
2020-05-04,390689,2408178,6.4,6.4,6.05,6.22,-0.28,173,1.0,6.4,6.22,6.05,6.4
2020-05-05,196632,1214344,6.22,6.24,6.1,6.15,-0.07,92,1.0,6.22,6.15,6.1,6.24
2020-05-06,191470,1178127,6.2,6.2,6.12,6.13,-0.02,60,1.0,6.2,6.13,6.12,6.2
2020-05-07,194819,1214808,6.13,6.33,6.13,6.29,0.16,91,1.0,6.13,6.29,6.13,6.33
2020-05-08,259375,1619466,6.3,6.34,6.16,6.18,-0.11,92,1.0,6.3,6.18,6.16,6.34
2020-05-11,334032,2083170,6.22,6.3,6.13,6.22,0.04,82,1.0,6.22,6.22,6.13,6.3
2020-05-12,139015,861400,6.25,6.27,6.15,6.15,-0.07,74,1.0,6.25,6.15,6.15,6.27
2020-05-13,183120,1127036,6.12,6.2,6.12,6.17,0.02,60,1.0,6.12,6.17,6.12,6.2
2020-05-14,177000,1079300,6.15,6.17,6.05,6.05,-0.12,63,1.0,6.15,6.05,6.05,6.17
2020-05-15,325159,1956435,6.03,6.12,6.0,6.06,0.01,94,1.0,6.03,6.06,6.0,6.12
2020-05-18,208137,1258533,6.06,6.14,6.0,6.0,-0.06,75,1.0,6.06,6.0,6.0,6.14
2020-05-19,151937,914222,6.02,6.05,6.0,6.05,0.05,63,1.0,6.02,6.05,6.0,6.05
2020-05-20,156296,936866,6.02,6.05,5.91,6.03,-0.02,54,1.0,6.02,6.03,5.91,6.05
2020-05-21,100725,610672,6.04,6.08,6.01,6.07,0.04,32,1.0,6.04,6.07,6.01,6.08
2020-05-22,101707,609213,6.02,6.08,5.95,5.95,-0.12,53,1.0,6.02,5.95,5.95,6.08
2020-05-25,85553,506927,5.95,5.95,5.9,5.93,-0.02,56,1.0,5.95,5.93,5.9,5.95
2020-05-26,320802,1977477,6.03,6.23,6.03,6.2,0.27,120,1.0,6.03,6.2,6.03,6.23
2020-05-27,143100,872147,6.2,6.2,6.06,6.1,-0.1,44,1.0,6.2,6.1,6.06,6.2
2020-05-28,122831,749237,6.17,6.17,6.07,6.12,0.02,53,1.0,6.17,6.12,6.07,6.17
2020-05-29,96200,589559,6.12,6.15,6.1,6.15,0.03,39,1.0,6.12,6.15,6.1,6.15
2020-06-01,151013,925988,6.17,6.19,6.07,6.13,-0.02,57,1.0,6.17,6.13,6.07,6.19
2020-06-02,21337,130575,6.11,6.15,6.1,6.13,0.0,13,1.0,6.11,6.13,6.1,6.15
2020-06-03,217841,1346583,6.14,6.28,6.02,6.19,0.06,81,1.0,6.14,6.19,6.02,6.28
2020-06-04,205526,1268094,6.21,6.23,6.11,6.11,-0.08,84,1.0,6.21,6.11,6.11,6.23
2020-06-05,139052,855746,6.12,6.23,6.08,6.2,0.09,58,1.0,6.12,6.2,6.08,6.23
2020-06-08,246911,1509606,6.3,6.32,6.03,6.19,-0.01,107,1.0,6.3,6.19,6.03,6.32
2020-06-09,220925,1345974,6.24,6.24,6.05,6.07,-0.12,67,1.0,6.24,6.07,6.05,6.24
2020-06-10,148250,899154,6.07,6.18,6.03,6.08,0.01,52,1.0,6.07,6.08,6.03,6.18
2020-06-11,420697,2519242,6.12,6.13,5.9,5.91,-0.17,122,1.0,6.12,5.91,5.9,6.13
2020-06-12,651263,3695556,5.68,5.87,5.6,5.74,-0.17,168,1.0,5.68,5.74,5.6,5.87
2020-06-15,160480,922107,5.86,5.86,5.7,5.77,0.03,83,1.0,5.86,5.77,5.7,5.86
2020-06-16,298298,1726577,5.78,5.86,5.76,5.86,0.09,101,1.0,5.78,5.86,5.76,5.86
2020-06-17,205200,1191549,5.86,5.9,5.76,5.86,0.0,78,1.0,5.86,5.86,5.76,5.9
2020-06-18,129004,756400,5.87,5.9,5.8,5.87,0.01,61,1.0,5.87,5.87,5.8,5.9
2020-06-19,451018,2746718,6.0,6.19,5.9,6.1,0.23,170,1.0,6.0,6.1,5.9,6.19
2020-06-22,341264,2063686,6.08,6.13,5.95,6.05,-0.05,137,1.0,6.08,6.05,5.95,6.13
2020-06-23,122502,737558,6.1,6.1,5.98,5.98,-0.07,66,1.0,6.1,5.98,5.98,6.1
2020-06-24,56351,341406,6.15,6.17,6.01,6.03,0.05,31,1.0,6.15,6.03,6.01,6.17
2020-06-29,163004,959036,5.96,5.96,5.72,5.91,-0.12,65,1.0,5.96,5.91,5.72,5.96
2020-06-30,186815,1114255,5.93,6.02,5.92,6.02,0.11,79,1.0,5.93,6.02,5.92,6.02
2020-07-01,181527,1105666,6.08,6.2,6.02,6.03,0.01,82,1.0,6.08,6.03,6.02,6.2
2020-07-02,315100,1923877,6.04,6.15,6.04,6.09,0.06,92,1.0,6.04,6.09,6.04,6.15
